N,t_h,m
7,6.08522652280994,0.42857142857142855
7,6.124684604841266,0.5714285714285714
7,6.129285013305693,0.42857142857142855
7,6.192835814108043,0.2857142857142857
7,6.199373055354702,0.42857142857142855
7,6.2625530895369454,0.2857142857142857
7,6.3096878080118115,0.42857142857142855
7,6.335983994205675,0.5714285714285714
7,6.342474870847738,0.7142857142857143
7,6.422605312990393,0.8571428571428571
7,6.426891001687587,0.7142857142857143
7,6.60051382447162,0.5714285714285714
7,6.62070769138433,0.42857142857142855
7,6.649261352449448,0.5714285714285714
7,6.65979953007327,0.42857142857142855
7,6.6745465983192105,0.2857142857142857
7,6.6746966495764255,0.42857142857142855
7,6.7955220361855275,0.2857142857142857
7,6.88886316767487,0.14285714285714285
7,6.910654354617381,0.2857142857142857
7,6.937671446805415,0.42857142857142855
7,6.947760467340573,0.5714285714285714
7,6.9769409066676005,0.42857142857142855
7,6.995825640727688,0.5714285714285714
7,7.019390096725101,0.7142857142857143
7,7.113333653123625,0.5714285714285714
7,7.224212272082925,0.7142857142857143
7,7.2635627007659345,0.8571428571428571
7,7.289684868466685,0.7142857142857143
7,7.29288868767575,0.5714285714285714
7,7.34090467244465,0.7142857142857143
7,7.366608309386645,0.5714285714285714
7,7.370888653555415,0.42857142857142855
7,7.419813839591945,0.2857142857142857
7,7.444371163713918,0.42857142857142855
7,7.457903654650846,0.2857142857142857
7,7.627597759882747,0.42857142857142855
7,7.682123901433024,0.5714285714285714
7,7.712286284557806,0.42857142857142855
7,7.903420532279495,0.5714285714285714
7,7.955068946203075,0.42857142857142855
7,8.010452317057336,0.5714285714285714
7,8.087908607752313,0.7142857142857143
7,8.090283910331381,0.8571428571428571
7,8.157715588512858,0.7142857142857143
7,8.281009483923134,0.5714285714285714
7,8.29224750773199,0.42857142857142855
7,8.305915577427209,0.5714285714285714
7,8.313272233462946,0.42857142857142855
7,8.328031515717589,0.5714285714285714
7,8.40670228399703,0.7142857142857143
7,8.435104357027113,0.5714285714285714
7,8.463032171541215,0.7142857142857143
7,8.464891253814345,0.8571428571428571
7,8.487603966299886,0.7142857142857143
