N,pe_human_pred,pe_mouse_pred,pe_human_fit,pe_mouse_fit,C_human_pred,C_mouse_pred,C_human_fit,C_mouse_fit
3.7769539078156313,0.5139367697603541,0.6181962727136983,0.5497839739289253,0.6246860916532253,0.0005605121559629778,0.04069401658576577,0.007163141044568944,0.04533496066657605
3.804809619238477,0.5121969786011396,0.6172939769218205,0.5483227672827358,0.6238375454562616,0.0004292913509698071,0.04006919747994808,0.006748173113642952,0.04471346532213638
3.8326653306613228,0.510456891866192,0.6163908719678537,0.5468607269778252,0.622988238625735,0.00031553056286059977,0.039448796556327936,0.006345416602206333,0.044095845511667564
3.8605210420841685,0.5087165516839592,0.6154869633646611,0.545397877782888,0.6221381757034199,0.00021923806176626925,0.038832826492919637,0.0059548923184848945,0.04348211245394862
3.888376753507014,0.5069760002074543,0.6145822566466664,0.5439342445222215,0.621287361249084,0.0001404208491637693,0.03822129989114009,0.005576620452414471,0.04287227730954313
3.91623246492986,0.5052352796101747,0.6136767573697339,0.5424698520740637,0.6204357998404056,7.90846567422232e-05,0.03761422927525171,0.005210620573332436,0.042266351180364925
3.9440881763527056,0.503494432082016,0.6127704711110484,0.5410047253689226,0.6195834960728882,3.5233945478885254e-05,0.03701162709181083,0.004856911627737492,0.041664345109243994
3.9719438877755513,0.501753499825183,0.6118634034689937,0.5395388893878995,0.6187304545597749,8.871904916940565e-06,0.036413505709117056,0.004515511937118077,0.04106627007949404
3.999799599198397,0.5000125250500975,0.6109555600630302,0.5380723691610033,0.6178766799319622,4.526510277713669e-10,0.03581987741666626,0.004186439195851932,0.04047213701448227
4.027655310621242,0.49827154997130535,0.6100469465335703,0.5366051897654583,0.6170221768379119,8.620234016043504e-06,0.03523075442460355,0.0038697104691749473,0.03988195677720041
4.0555110220440875,0.49653061680338156,0.6091375685418536,0.5351373763240058,0.6161669499435637,3.473062198389165e-05,0.0346461488631834,0.003565342191220622,0.03929574016983717
4.083366733466933,0.4947897677568362,0.6082274317698217,0.5336689540031976,0.6153110039322451,7.832971726484672e-05,0.034066072782228396,0.003273350163130906,0.03871349793335299
4.111222444889779,0.49304904503402147,0.6073165419199893,0.5321999480116841,0.6144543435045825,0.00013941434861330926,0.03349053815059233,0.0029937495512379897,0.03813524074705643
4.139078156312625,0.49130849082503897,0.6064049047153164,0.5307303835984966,0.6135969733784093,0.00021798007334195013,0.03291955685562642,0.0027265548853189214,0.0375609792281818
4.16693386773547,0.48956814730365117,0.6054925258990788,0.5292602860513218,0.612738898288675,0.00031402117803858154,0.03235314070264872,0.002471780056920392,0.036990723931469516
4.194789579158316,0.4878280566231949,0.6045794112347369,0.5277896806947733,0.6118801229873524,0.00042753067948975154,0.03179130141441355,0.0022294383177583477,0.03642448534874754
4.222645290581162,0.4860882609125003,0.603665566505804,0.5263185928886551,0.6110206522433438,0.0005585003258090637,0.03123405063058826,0.0019995422781879935,0.035862273908514375
4.2505010020040075,0.4843488022718136,0.6027509975157138,0.524847048026222,0.6101604908423874,0.0007069205977692228,0.030681399907229512,0.0017821039057492882,0.035304099975525305
4.278356713426853,0.48260972276872643,0.6018357100876844,0.5233750715324335,0.6092996435869619,0.0008727807103396934,0.03013336071626327,0.0015771345237838297,0.03474997385037926
4.306212424849699,0.48087106443411237,0.6009197100645854,0.5219026888622039,0.6084381152961904,0.0010560686144268638,0.02958994444496943,0.0013846448101266784,0.03419990576910814
4.334068136272545,0.4791328692580694,0.6000030033087993,0.5204299254986484,0.6075759108057442,0.0012567709988182685,0.029051162395467234,0.0012046447958717899,0.03365390590276829
4.36192384769539,0.4773951791858729,0.5990855957020853,0.5189568069513233,0.606713034967745,0.0014748732923295371,0.028517025784205785,0.0010371438642111652,0.033111984357033775
4.389779559118236,0.47565803611393553,0.5981674931454403,0.5174833587544645,0.6058494926506659,0.0017103596661524056,0.02798754574145601,0.0008821507493494973,0.032574151171790744
4.417635270541082,0.47392148188577976,0.5972487015589589,0.5160096064652205,0.604985288739233,0.0019632130364064526,0.027462733310806953,0.0007396735354926465,0.032040416320736176
4.4454909819639274,0.4721855582880187,0.5963292268816931,0.5145355756618836,0.6041204281343251,0.0022334150668886776,0.026942599448665505,0.0006097196559116114,0.03151078971097654
4.473346693386773,0.47045030704635027,0.5954090750715098,0.5130612919421165,0.6032549157528723,0.002520946172024807,0.026427155023758475,0.00049229589208033,0.03098528118262911
4.501202404809619,0.4687157698215631,0.5944882521049482,0.5115867809211769,0.6023887565277556,0.0028257855200191084,0.025916410816637647,0.0003874083728907518,0.030463900508426622
4.529058116232465,0.46698198820555625,0.5935667639770756,0.5101120682301402,0.6015219554077027,0.003147911036203044,0.025410377519190508,0.0002950625739419621,0.029946657393321807
4.55691382765531,0.4652490037173727,0.5926446167013425,0.5086371795141172,0.6006545173571863,0.003487299406579991,0.024909065734151303,0.00021526331690457923,0.029433561474096925
4.584769539078156,0.46351685779924745,0.5917218163094359,0.5071621404304736,0.599786447356319,0.0038439260815663623,0.024412485974618425,0.00014801476896231236,0.028924622318972415
4.612625250501002,0.4617855918126719,0.5907983688511326,0.5056869766470439,0.5989177504007488,0.004217765279929342,0.02392064866357213,9.332044232746028e-05,0.02841984942722109
4.640480961923847,0.46005524703447476,0.5898742803941507,0.5042117138403465,0.5980484315015534,0.004608789992916362,0.023433564133399365,5.118319383479175e-05,0.027919252228781888
4.668336673346693,0.45832586465291886,0.5889495570240002,0.502736377693796,0.5971784956851337,0.0050169719885785335,0.02295124262541881,2.1605224608256535e-05,0.027422840083877187
4.696192384769539,0.4565974857638183,0.5880242048438331,0.5012609938959152,0.5963079479931064,0.00544228181628692,0.022473694289411816,4.588079806855383e-06,0.02693062228263232
4.7240480961923845,0.4548701513666724,0.5870982299742912,0.49978558813854607,0.5954367934821965,0.00588468881143589,0.022000929183155327,1.3264844467286707e-07,0.026442608044698
4.75190380761523,0.45314390236082025,0.5861716385533546,0.49831018611506,0.5945650372241276,0.006344161100338752,0.021532957271960917,8.239163287626639e-06,0.02595880651887339
4.779759519038076,0.4514187795416148,0.585244436736188,0.4968348135185688,0.5936926843055133,0.006820665605308696,0.021069788428213276,2.890720082704412e-05,0.02547922678273362
4.807615230460922,0.4496948235966195,0.5843166306949859,0.49535949604013363,0.592819739827746,0.007314168049927572,0.020611432430917342,6.213568132773517e-05,0.02500387784225866
4.835470941883767,0.4479720751018249,0.5833882266188176,0.4938842593669771,0.5919462089068868,0.007824632964497757,0.02015789896524578,0.00010792286895422443,0.024532768631464585
4.863326653306613,0.44625057451788896,0.5824592307134714,0.492409129180694,0.5910720966735522,0.008352023691677757,0.019709197622091446,0.00016626637197192373,0.024065908012037895
4.891182364729459,0.4445303621864007,0.5815296492012959,0.49093413115546297,0.590197408272803,0.008896302392300215,0.019265337897623525,0.00023716314302513197,0.0236033047729719
4.9190380761523045,0.44281147832616685,0.580599488321043,0.4894592909562596,0.58932214886403,0.009457430051367899,0.018826329192848212,0.000320609479490086,0.023144967630206348
4.94689378757515,0.4410939630295247,0.5796687543277076,0.48798463423707167,0.58844632362084,0.010035366484229757,0.018392180813171732,0.00041660102390506104,0.022690905226268043
4.974749498997996,0.439377856258679,0.5787374534923685,0.48651018663911444,0.5875699377309416,0.010630070342932063,0.017962901967969902,0.0005251327644756332,0.022241126129916022
