gene_symbol,NE_pluripotency_score,E8_self_renewal_score
LSM12,1.0,-0.1548690660919346
2023-03-07 00:00:00,1.0,-0.0282205752044678
USP31,1.0,0.0205089199193177
CSRNP1,1.0,0.0398929999113458
SMG9,1.0,0.3034300083525401
PCDHB2,1.0,-0.2312217641525038
FOXB2,1.0,0.729962332634558
POLN,1.0,0.4817617473871388
RHOXF1,1.0,0.2743723758288398
SMARCAD1,1.0,0.5565104057436335
FLOT1,1.0,0.2960703912496796
TSC1,1.0,-0.0290004931164462
ONECUT2,1.0,-0.091020142093624
GPR61,1.0,0.3357078720865263
CONTROL354,1.0,0.118742768724371
KRTAP4-11,1.0,-0.015590159957552
HSPA5,1.0,0.3415266759348861
NPTXR,1.0,-0.4395137373449279
TGFB1I1,1.0,-0.0423420574442173
APOA1BP,1.0,0.2571908976233583
COL4A6,1.0,-0.0839938066937322
WIPI2,1.0,0.1750618362362718
SLC30A9,1.0,0.0780570825018484
CKS2,1.0,-0.3055040771572673
IFNA21,1.0,0.0701433214064864
USP48,1.0,-0.2057654729073146
PPP2CB,1.0,-0.5250957343876678
AMICA1,1.0,0.2367822052259968
ATP13A3,1.0,-0.08606757355202
PGA3,1.0,-0.0646421555028625
RBM10,1.0,0.4142051203687393
DPYD,1.0,0.2361977890632647
HCK,1.0,-0.1403928442300803
ATP6V1G2,1.0,0.005762250922433
ADAM7,1.0,0.457195028185918
CFL1,1.0,0.4218504818787941
CIDEB,1.0,-0.1471464792301877
SUPT4H1,1.0,0.0963143310472147
2023-09-08 00:00:00,1.0,-0.1773128227417341
COMMD1,1.0,0.159788713259528
ST18,1.0,0.013612849536969
RPS6KA2,1.0,-0.337004423105152
FBXO18,1.0,0.755665425390193
USP17L10,1.0,-0.2679401278693318
S100P,1.0,-0.0858724618065948
CONTROL607,1.0,0.2922073777479112
GBP1,1.0,-0.062021016907732
LIPI,1.0,-0.0013272390836145
SPCS3,1.0,0.0931801578349718
TFPT,1.0,0.6625102016281993
ANKRD49,1.0,-0.5449550025786215
ARHGAP18,1.0,0.1368641967021093
C9ORF41,1.0,-0.105245309855868
MAP3K14,1.0,0.2832433052633567
HAMP,1.0,0.1057979682069798
C15ORF59,1.0,0.2372115068090744
GBP3,1.0,0.1628356631441312
GTF3C4,1.0,0.2537212930706528
PSMD13,1.0,-0.0552918070389724
TANC2,1.0,0.0398687985306122
ST3GAL1,1.0,0.2032434954236364
IL10,1.0,-0.2216532514919284
SLC39A1,1.0,0.2591590479219903
POLA1,1.0,0.4032757919374019
CAND1,1.0,-0.0419098959059293
FHL3,1.0,-0.2149367847001525
TMEM165,1.0,0.156804545238879
PEA15,1.0,0.3377342493573248
ZBTB7B,1.0,-0.0405965220317803
KCTD5,1.0,0.043841106376714
C10ORF55,1.0,-0.3263792366762079
EIF3C,1.0,0.382479221764758
DNASE1L2,1.0,0.160810625528903
SLAMF7,1.0,-0.3876081490777386
PCNA,1.0,-0.3045494269996465
NUFIP2,1.0,-0.4133784609135199
FREM1,1.0,-0.0299700815720421
TMEM194A,1.0,0.0999876638726455
SLC27A5,1.0,-0.1540618826566097
CONTROL315,1.0,-0.0526579965236249
ADAT3,1.0,-0.2754058885178996
GUCA2A,1.0,-0.4698810271394927
KAT6B,1.0,0.3034264969792827
GP5,1.0,-0.0658660564121589
JAZF1,1.0,-0.0241674920326431
OPRL1,1.0,0.3949101288581318
C14ORF93,1.0,0.3696855112637234
GCLC,1.0,0.5447702616948827
C16ORF74,1.0,0.4940729886808691
GPATCH8,1.0,-0.0287531980717004
DTX3L,1.0,0.4952021504284845
SLC11A1,1.0,0.5322489645486596
SHKBP1,1.0,0.2617365680705543
LY6G6F,1.0,0.4515927938537249
ZNF367,1.0,0.4670510124316399
SPTBN1,1.0,-0.3800906702146466
PIH1D2,1.0,0.1658716930924302
NFKB2,1.0,0.2327274227442779
SLC25A12,1.0,0.1832451514397902
C7ORF66,1.0,-0.2174197617324372
MUC20,1.0,0.394743246053686
SLC36A2,1.0,-0.1633853143214691
UPK2,1.0,-0.2160488323006901
MAML3,1.0,0.35285523590342
BNC2,1.0,0.3908192482443426
LINC00452,1.0,0.3201805055124675
ELAVL2,1.0,-0.4908024826542415
PKP1,1.0,-0.4381639627479088
CCDC102B,1.0,0.2166307102994871
IGLL5,1.0,-0.0720625675183891
TOP2B,1.0,-0.0951537334578714
ZXDA,1.0,0.2085393238431739
C15ORF62,1.0,-0.1664223780884293
C1ORF186,1.0,0.1120488106587041
DBN1,1.0,0.1508974985948688
ZFAND2B,1.0,0.2961543995201123
IFI35,1.0,-0.1245043054253373
ZNF257,1.0,0.1358278748689337
ZIC3,1.0,-0.2026725583395323
PORCN,1.0,0.175041705567156
ARRDC2,1.0,-0.1618514924690784
PPARD,1.0,0.110702467068867
MSH5,1.0,-0.2716980598830199
WAPAL,1.0,-0.0592313162920541
RRP1B,1.0,0.1326946066361484
WDR19,1.0,-0.0942520060927716
PPHLN1,1.0,0.0810993207067138
ZMIZ1,1.0,0.069054971427908
ZDHHC11,1.0,-0.0379786782597991
LRRC20,1.0,0.3019089280806952
RPS21,1.0,0.0790777826099789
CACNA2D3,1.0,0.0573447060092831
CCL25,1.0,-0.1076569326356419
OVCA2,1.0,0.0575177471174007
SLC38A1,1.0,-0.0428032427145573
ZKSCAN7,1.0,0.2733129228131624
ERCC8,1.0,-0.1480684074156602
TMX2,1.0,-0.8393694467032201
NFIB,1.0,0.3822020107873723
METTL8,1.0,-0.2649953592785002
N4BP2L2,1.0,0.3557820161061851
ADAMTS4,1.0,0.0506578236014006
NOSTRIN,1.0,0.0651153509425089
TM6SF1,1.0,-0.6239811941772954
CAMK1D,1.0,0.0904703216446482
WDR37,1.0,0.3513427830465429
